Date,Open,High,Low,Close,Volume
5/4/2011,409.618988,411.625,403.888,410.406006,4302536
6/4/2011,409.875,412.375,406.506012,409.394012,6766920
7/4/2011,407.737,407.737,404.712006,405.737,3800288
8/4/2011,405.25,408.080994,400.931,403.412994,4832928
11/4/2011,399.412994,407.725006,397.625,405.200012,8000064
13-04-2011,401.375,414.638,399.5,413.274994,11068904
15-04-2011,412.019012,412.325012,372.187988,373.687988,81019736
18-04-2011,364.875,370.875,360,363.263,41086712
19-04-2011,363.25,365.875,360.125,360.919006,19210632
20-04-2011,364.875,365.987,361.375,363.412994,17949856
21-04-2011,364.837006,367.562012,362.638,363.75,23953696
25-04-2011,364.375,370.493988,363.424988,367.662994,15527240
26-04-2011,366.875,369.368988,365,367.794006,18230880
27-04-2011,368.125,370.580994,367.812012,369.144012,9981328
28-04-2011,368.625,369.75,365.125,366.144012,23419304
29-04-2011,363.75,366.125,360.993988,363.281006,16254336
2/5/2011,364.881012,368,363.75,365.319,13468184
3/5/2011,365,369.644012,362.493988,363.881012,13234040
4/5/2011,362.625,363.125,355.343994,358.718994,16924400
5/5/2011,358.412994,359.862,354.625,356.062012,12661232
6/5/2011,357.237,363.75,356,361.625,11930664
9/5/2011,363.75,364.625,358.437988,363.569,4938200
10/5/2011,363.462006,365.612,359,360.006012,4873368
11/5/2011,360.25,365.5,359.993988,363.256012,6410072
12/5/2011,362.237,363.625,359,360.156006,4996480
13-05-2011,360.399994,364,358.906006,359.794006,8282336
16-05-2011,359.5,359.5,355.294006,356.299988,6469368
17-05-2011,356.049988,359.662994,352.993988,355.519012,7570472
18-05-2011,356.25,360.294006,350.375,355.312012,10176496
19-05-2011,357.462006,357.462006,354.450012,355.806,7455960
20-05-2011,355.625,357.962006,354.019012,356.230988,8023672
23-05-2011,355.980988,356.600006,353.480988,354.631012,6778880
24-05-2011,354.125,357.980988,354.125,355.562012,7625464
25-05-2011,353.462006,353.462006,344.575012,348.580994,11075416
26-05-2011,349.25,349.718994,344.75,347.069,8476176
27-05-2011,345,350.875,345,348.437988,6264944
30-05-2011,350.763,350.763,345.125,347.575012,6867352
31-05-2011,349.125,352.25,347.069,348.205994,20410608
1/6/2011,349.25,353,348,351.444,8105864
2/6/2011,347.5,352.5,347.125,350.381012,7117288
3/6/2011,351.375,355.350006,351.362,352.024994,6293384
6/6/2011,352.75,355.743988,349.394012,354.737,3769264
7/6/2011,353.756012,363,353.756012,361.569,7978664
8/6/2011,361.125,361.524994,358.406006,358.962006,5945968
9/6/2011,360.187988,360.187988,356.819,357.687988,4221616
10/6/2011,358.562012,360.100006,356.399994,357.794006,7187264
13-06-2011,356.062012,360.274994,352.462006,359.700012,7733184
14-06-2011,359.725006,360.437988,358.093994,359.037994,7870104
15-06-2011,357.718994,357.718994,353.362,354.450012,7335880
16-06-2011,353.625,353.625,349.381012,350.037994,7628960
17-06-2011,350.013,350.419006,341.412994,346.205994,8525168
20-06-2011,346.037994,347.468994,331.562012,338.694,12458152
21-06-2011,340.375,344.375,336.662994,340.894012,7542816
22-06-2011,344.125,347.712006,342.763,344.381012,5625000
23-06-2011,343.75,348.638,341.937988,347.388,4158768
24-06-2011,348.875,359.712006,348.875,357.493988,11219288
27-06-2011,353.955994,365.375,352.531006,358.881012,10724296
28-06-2011,358.756012,359.605988,355.475006,358.162994,4486792
29-06-2011,358.5,363.375,358.5,360.218994,4800752
30-06-2011,360.756012,364.875,360.187988,363.806,11341840
1/7/2011,366.875,371.243988,365.513,366.769012,6402464
4/7/2011,370.830994,372.125,366.875,367.368988,4114592
5/7/2011,369.625,371.237,365.75,369.556,6423728
6/7/2011,368.375,371.556,367.138,369.212006,3440224
7/7/2011,369.399994,375,367.875,374.462006,5751472
8/7/2011,375,377.987,370.906006,372.069,5669792
11/7/2011,369.237,372.013,361.069,365.144012,9206520
12/7/2011,356.25,356.25,343.350006,348.944,29652656
13-07-2011,345.75,350.919006,345.131012,347.162994,13338168
14-07-2011,345.031006,345.5,341.375,342.544006,10891224
15-07-2011,343,345.368988,340,341.419006,6392624
18-07-2011,341.875,342.906006,338.419006,339.174988,9408656
19-07-2011,340.125,345.25,339.580994,343.812012,8324424
20-07-2011,346.600006,346.600006,343.125,344.056,6222712
21-07-2011,343.149994,348.062012,342.100006,346.013,5897088
22-07-2011,348.037994,355.5,346.25,353.531006,7749624
25-07-2011,352.25,353.131012,348.888,350.968994,7404256
26-07-2011,351.125,353,348.437988,350.225006,6848736
27-07-2011,350.125,354.487,348.899994,349.580994,8506440
28-07-2011,345.625,346.737,341.812012,343.888,9481376
29-07-2011,342.625,347.806,340.674988,346.987,9757592
1/8/2011,347.513,352.975006,347.513,351.888,6094952
2/8/2011,349.819,349.819,343.125,343.868988,4932528
3/8/2011,341.875,342.462006,338.562012,341.575012,5646088
4/8/2011,342.5,344.993988,338,338.644012,6529888
5/8/2011,330.450012,330.450012,315.625,323.899994,15758072
8/8/2011,312.5,312.5,303.875,308.812012,16170240
9/8/2011,293.875,304.993988,293.774994,296.819,16849744
10/8/2011,306,309.549988,301.388,305.888,13955960
11/8/2011,304,308.625,301.868988,305.075012,8206232
12/8/2011,311,311,292.794006,296.899994,14098080
16-08-2011,303.75,304.781006,296.537994,299.912994,10146704
17-08-2011,299.5,308.187988,299.5,306.118988,8531328
18-08-2011,308.125,308.513,292.875,294.263,10674664
19-08-2011,284.25,284.25,271.450012,278.087006,28899200
22-08-2011,276.737,280.638,271.875,274.325012,15708072
23-08-2011,275.156006,287.830994,274.25,284.618988,17143440
24-08-2011,285,285.618988,278.75,281.362,8606144
25-08-2011,281.274994,283.138,270.187988,272.924988,26853752
26-08-2011,273.312012,281.612,272.830994,275.319,21021960
29-08-2011,279.875,289.031006,279,287.031006,11222528
30-08-2011,291.375,295,285,292.868988,12142920
2/9/2011,298.125,298.125,284.412994,289.899994,14960904
5/9/2011,286.712006,286.712006,280.024994,283.138,10902544
6/9/2011,281.737,290,277.781006,287.819,10816696
7/9/2011,287.237,289.287994,283.455994,286.431,13157432
8/9/2011,287.5,294.25,287.375,292.306,11027872
9/9/2011,291.013,291.013,282.625,284.287994,12392104
12/9/2011,276,277.169006,272.580994,274.806,8198264
13-09-2011,277.888,282.462006,274.468994,277.756012,10365216
14-09-2011,281.375,295.862,281.125,293.955994,17236880
15-09-2011,297.25,303.562012,291.25,301.237,13703456
16-09-2011,307.237,307.237,296.700012,299.394012,11304104
19-09-2011,299.875,301.450012,294.513,295.330994,6558432
20-09-2011,297.125,305,296.894012,304.569,9008904
21-09-2011,305,306.862,302.5,304.455994,7402480
22-09-2011,298,301.475006,292.080994,294.075012,9037856
23-09-2011,291,298.725006,290.125,292.350006,10448432
26-09-2011,293.125,295.625,287.638,294.375,6544288
27-09-2011,297.149994,308.580994,297.149994,305.519012,10341024
28-09-2011,310,317.5,306.562012,308.781006,20061760
29-09-2011,310.25,321.243988,308.906006,318.888,23256344
30-09-2011,316.487,320.5,313.524994,316.631012,10730656
3/10/2011,311.25,314.75,308.462006,309.487,9885128
4/10/2011,306.524994,310.218994,301.700012,304.812012,7838480
5/10/2011,307.243988,312.375,303.513,305.868988,10771856
7/10/2011,320,321.862,310.955994,313.587006,18457728
10/10/2011,318.125,325.112,316.049988,323.743988,16946432
11/10/2011,324.174988,324.375,311.25,313.069,22339248
12/10/2011,324.375,336,324.375,334.919006,34633704
13-10-2011,339.875,341.125,335.625,337.087006,18041536
14-10-2011,338.888,344.587006,335.787994,342.968994,19600992
17-10-2011,345.138,345.612,340.024994,343.319,14145496
18-10-2011,337.487,340.625,335.962006,337.694,10518136
19-10-2011,340.25,341.875,337.638,340.968994,10135320
20-10-2011,336.5,344.625,335.944,343.444,5573680
21-10-2011,343.444,343.625,338.375,340.330994,6858312
24-10-2011,343.75,346.850006,342.649994,345.912994,6075592
25-10-2011,351.375,362.375,351.375,357.337006,15677584
28-10-2011,365.125,371.419006,355.631012,357.330994,24868784
31-10-2011,357,362.218994,357,359.694,10291624
1/11/2011,355,359.263,352.25,354.575012,7906192
2/11/2011,352.5,356.737,352.174988,354.299988,5317856
3/11/2011,354.25,355.25,345.899994,350.263,10779624
4/11/2011,355.625,356.362,348.944,353.243988,7643688
8/11/2011,351.881012,356,348.855988,355.263,6107336
9/11/2011,355.625,358.406006,353.125,354.412994,6679648
11/11/2011,326.337006,350.962006,326.337006,346.962006,9441224
14-11-2011,351.269012,354.049988,349.75,351.100006,4633040
15-11-2011,350.013,352.5,347.694,349.787994,5098024
16-11-2011,349.375,350.5,344.787994,347.287994,6552648
17-11-2011,346.037994,348.625,341.612,344.187988,6366984
18-11-2011,341.381012,345.556,340,342.600006,4737896
21-11-2011,340,341.855988,328.287994,333.763,9365792
22-11-2011,325,345.612,325,340.5,14859512
23-11-2011,334.375,336.194,327.169006,331.580994,12792816
24-11-2011,330.125,335.5,323.325012,333.274994,13231776
25-11-2011,331.875,331.875,323.875,324.962006,8022528
28-11-2011,327.506012,331.237,326.556,329.519012,7290208
29-11-2011,327.774994,328.506012,322.656006,324.743988,10659368
30-11-2011,322.625,328.125,320.125,325.855988,11640232
1/12/2011,334.25,336.355988,328.825012,331.919006,8125208
2/12/2011,331.375,339.431,330.987,336.769012,9451408
5/12/2011,336.25,339.718994,334.399994,337.644012,7468184
7/12/2011,338.125,346.549988,335.506012,344.868988,8070392
8/12/2011,343.375,344.75,337.013,340.431,7295584
9/12/2011,333.519012,342.475006,332.524994,338.787994,10570752
12/12/2011,339.987,344.5,337.225006,342.531006,11025800
13-12-2011,341.412994,345.612,338.587006,344.024994,9648336
14-12-2011,343.75,345.906006,340.625,342.531006,9857632
15-12-2011,340.787994,341.794006,333.125,339.544006,10053168
16-12-2011,336.875,348.600006,336.493988,340.562012,13669288
19-12-2011,336.25,337.944,331.975006,334.549988,12064432
20-12-2011,336.25,337.269012,331.388,333.593994,10484608
21-12-2011,339.875,344.350006,335,342.875,8422920
22-12-2011,331.25,343.5,331.25,340.105988,12707136
23-12-2011,342.5,342.5,335.406006,336.843994,7045296
26-12-2011,336.375,348.375,336.375,346.980988,4236568
27-12-2011,345.625,349.875,342.031006,344.924988,6178200
28-12-2011,346.125,350.5,343.944,347.75,6851248
29-12-2011,344.75,346.862,341.381012,342.763,8837168
30-12-2011,343,346.875,342.687988,345.955994,5308816
2/1/2012,344.899994,352.080994,342.75,351.118988,5826176
3/1/2012,353.013,360.868988,352.5,358.037994,8903008
4/1/2012,355.625,359.375,355.131012,356.799988,7341424
5/1/2012,354.899994,359.5,353.931,355.019012,7125272
6/1/2012,354.75,358.450012,351.388,354.019012,7087632
9/1/2012,355.937988,358.287994,352.149994,354.569,8265784
10/1/2012,358.75,359.424988,356.274994,357.950012,11179176
11/1/2012,358.5,361.862,351.625,353.325012,13795800
12/1/2012,343.75,343.75,322.256012,323.531006,48970600
13-01-2012,327.25,327.375,319.031006,323.024994,20898944
16-01-2012,322.656006,330.5,322.388,330.019012,13188736
17-01-2012,331.25,334.100006,329.230988,332.756012,8740424
18-01-2012,330.5,330.5,323.125,326.506012,9700424
19-01-2012,327,327.850006,322.075012,324.337006,9652336
20-01-2012,324.5,326.212006,322.037994,323.600006,11635712
23-01-2012,323.75,326.937988,323.625,325.037994,5160864
24-01-2012,327.25,329.950012,324.375,327.600006,5653208
25-01-2012,329.375,334.375,328.125,333.225006,10545360
27-01-2012,337.75,341.875,335.774994,340.625,12218872
30-01-2012,337.362,340.649994,336.25,339.037994,9588456
31-01-2012,339,344.330994,338.25,343.25,8658896
1/2/2012,342.462006,343.5,336.955994,342.837006,6269336
2/2/2012,342.513,347.875,341.25,344.625,11538256
3/2/2012,342.506012,349,342.506012,347.906006,11637200
6/2/2012,350.638,350.987,344.013,347.138,7937680
7/2/2012,350.625,350.625,339.205994,340.937988,7221640
8/2/2012,343.5,347.75,342.669006,346.144012,6671496
9/2/2012,343.625,352.763,341.480988,351.237,10156840
10/2/2012,349.875,350.25,343.894012,348.799988,5177616
13-02-2012,346.906006,350.062012,344.638,348.549988,5734008
14-02-2012,347,351.237,345.5,350.131012,5477768
15-02-2012,351.875,359.375,351.875,358.013,7178328
16-02-2012,358,364.712006,357.569,363.618988,8256552
17-02-2012,364.531006,372.25,362.519012,368.475006,11457280
21-02-2012,366.25,369.987,363.906006,367.281006,6049224
22-02-2012,363.149994,374.25,363.149994,369.031006,10413120
23-02-2012,367.375,372.825012,364.524994,366.644012,10474960
24-02-2012,366.5,371.75,365.437988,368.506012,8536440
27-02-2012,370.625,370.625,359,360.419006,6910568
28-02-2012,360.75,363.75,356.868988,359.049988,7950200
29-02-2012,361.75,363.513,358.024994,360.431,8868408
1/3/2012,356.444,359.375,350.625,357.080994,9806632
2/3/2012,358.125,358.125,351.638,355.712006,6077656
5/3/2012,357.263,357.980988,349.587006,351.230988,5780456
6/3/2012,350.638,360,350.138,356.556,10349688
7/3/2012,355.25,361.875,354.388,360.480988,7908568
9/3/2012,361.75,362.875,356,356.912994,6644808
12/3/2012,364.375,364.375,347.625,352.174988,7294472
13-03-2012,355.493988,358.730988,355.25,357.475006,7710424
14-03-2012,361.25,364.375,356.743988,359.855988,10602088
15-03-2012,361.875,363.144012,358.812012,360.237,6251360
16-03-2012,363.125,364.125,355.894012,358.118988,9031008
19-03-2012,361.875,362.5,351.412994,354.687988,6061528
20-03-2012,353.25,356.649994,350.375,353.919006,9225384
21-03-2012,354.056,361.25,352.625,358.412994,6250664
22-03-2012,359.25,359.319,351.787994,353.537994,5664640
23-03-2012,354.125,360.343994,353.799988,359.087006,5497736
26-03-2012,358.625,358.625,352.638,353.843994,4922664
27-03-2012,357.5,362.968994,354.037994,359.487,7590752
28-03-2012,358.25,359.337006,353,355.388,5919920
29-03-2012,352.562012,354.794006,345.975006,349,14000208
30-03-2012,351.237,359.125,350.375,358.287994,7963600
2/4/2012,358,361.093994,355.125,356.274994,4851584
3/4/2012,358.287994,359.705994,355.319,357.306,5451584
4/4/2012,356.125,359.368988,355.5,356.388,5254144
9/4/2012,354.687988,357.419006,351.549988,352.843994,6541568
10/4/2012,355.25,355.955994,342.125,346.424988,7243056
11/4/2012,346.118988,353.125,342.899994,350.549988,8179640
12/4/2012,352.843994,353.980988,342.306,343.830994,11805608
13-04-2012,314.75,315.337006,298.638,300.319,75255568
16-04-2012,300,303.319,291.631012,295.569,33491480
17-04-2012,299.875,299.875,292.013,297.587006,23687088
18-04-2012,300,300.319,294.375,296.406006,19165328
19-04-2012,297.487,301.868988,296,300.674988,17113512
20-04-2012,299.343994,303.549988,295.312012,300.924988,11507520
23-04-2012,298.75,298.75,288.125,288.862,18136696
24-04-2012,288.830994,295.600006,274.787994,293.694,53037912
25-04-2012,293.712006,295.625,287.906006,293.743988,24638504
26-04-2012,293.75,297.350006,292.794006,294.524994,17137064
27-04-2012,294.625,299.75,294.375,298.875,14062464
30-04-2012,299,308.5,298.794006,307.763,10869608
2/5/2012,308.125,311,307.718994,309,10124688
3/5/2012,307.5,312.156006,307.5,310.362,11400728
4/5/2012,310.25,312.25,302.924988,305.243988,10800888
7/5/2012,301.125,306.100006,295.987,304.700012,10710000
8/5/2012,299.375,300.968994,291.144012,299.237,11526640
9/5/2012,296,299.350006,294.075012,295.781006,10498144
10/5/2012,296,298.105988,290.287994,293.024994,9084024
11/5/2012,293,295,286.506012,288.912994,8901312
14-05-2012,290.024994,293.187988,288.013,292.368988,7918416
15-05-2012,288.125,303.625,288.125,301.899994,10267152
16-05-2012,297.25,298.125,294.25,296.056,8589288
17-05-2012,296.056,297.181,293.299988,296.319,5807416
18-05-2012,290.669006,300.625,287.769012,297.855988,5938160
21-05-2012,298.112,298.187988,290.5,292.556,4776760
22-05-2012,294.375,296.006012,290.455994,292.638,5823208
23-05-2012,294.375,295.600006,288.399994,293.524994,5402032
24-05-2012,293.625,298.612,289.125,297.600006,7612048
25-05-2012,295.375,298.125,293.881012,296.605988,4313728
28-05-2012,299.25,299.75,295.325012,298.225006,4725784
29-05-2012,298.875,303.125,297.25,301.187988,5144760
